Epoch 1 | Train Loss: 0.3792 | Train Acc: 86.12% | Val Loss: 0.3811 | Val Acc: 86.27%
Epoch 2 | Train Loss: 0.3675 | Train Acc: 86.57% | Val Loss: 0.3697 | Val Acc: 86.82%
Epoch 3 | Train Loss: 0.3686 | Train Acc: 86.46% | Val Loss: 0.3709 | Val Acc: 86.80%
Epoch 4 | Train Loss: 0.3664 | Train Acc: 86.53% | Val Loss: 0.3685 | Val Acc: 86.50%
Epoch 5 | Train Loss: 0.3642 | Train Acc: 86.95% | Val Loss: 0.3665 | Val Acc: 87.13%
Epoch 6 | Train Loss: 0.3605 | Train Acc: 86.77% | Val Loss: 0.3631 | Val Acc: 86.88%
Epoch 7 | Train Loss: 0.3548 | Train Acc: 86.59% | Val Loss: 0.3576 | Val Acc: 86.53%
Epoch 8 | Train Loss: 0.3495 | Train Acc: 86.87% | Val Loss: 0.3514 | Val Acc: 87.03%
Epoch 9 | Train Loss: 0.3433 | Train Acc: 87.20% | Val Loss: 0.3453 | Val Acc: 87.53%
Epoch 10 | Train Loss: 0.3374 | Train Acc: 87.53% | Val Loss: 0.3392 | Val Acc: 87.75%
87.75 88.33
