Epoch 1 | Train Loss: 0.8635 | Train Acc: 48.40% | Val Loss: 0.8639 | Val Acc: 47.67%
Epoch 2 | Train Loss: 0.8056 | Train Acc: 43.46% | Val Loss: 0.8058 | Val Acc: 43.57%
Epoch 3 | Train Loss: 0.7348 | Train Acc: 50.55% | Val Loss: 0.7347 | Val Acc: 50.73%
Epoch 4 | Train Loss: 0.6636 | Train Acc: 57.86% | Val Loss: 0.6644 | Val Acc: 57.80%
Epoch 5 | Train Loss: 0.6084 | Train Acc: 64.17% | Val Loss: 0.6093 | Val Acc: 63.32%
Epoch 6 | Train Loss: 0.5684 | Train Acc: 66.91% | Val Loss: 0.5693 | Val Acc: 65.93%
Epoch 7 | Train Loss: 0.5400 | Train Acc: 70.31% | Val Loss: 0.5406 | Val Acc: 69.67%
Epoch 8 | Train Loss: 0.5159 | Train Acc: 72.88% | Val Loss: 0.5169 | Val Acc: 72.63%
Epoch 9 | Train Loss: 0.4937 | Train Acc: 77.64% | Val Loss: 0.4944 | Val Acc: 77.65%
Epoch 10 | Train Loss: 0.4714 | Train Acc: 78.25% | Val Loss: 0.4724 | Val Acc: 78.05%
78.05 79.38
