Epoch 1 | Train Loss: 0.6917 | Train Acc: 62.80% | Val Loss: 0.6926 | Val Acc: 62.68%
Epoch 2 | Train Loss: 0.5732 | Train Acc: 73.28% | Val Loss: 0.5743 | Val Acc: 72.93%
Epoch 3 | Train Loss: 0.5186 | Train Acc: 77.26% | Val Loss: 0.5198 | Val Acc: 76.95%
Epoch 4 | Train Loss: 0.4838 | Train Acc: 79.77% | Val Loss: 0.4853 | Val Acc: 79.27%
Epoch 5 | Train Loss: 0.4584 | Train Acc: 81.33% | Val Loss: 0.4600 | Val Acc: 80.88%
Epoch 6 | Train Loss: 0.4384 | Train Acc: 82.60% | Val Loss: 0.4401 | Val Acc: 82.27%
Epoch 7 | Train Loss: 0.4217 | Train Acc: 83.76% | Val Loss: 0.4235 | Val Acc: 83.52%
Epoch 8 | Train Loss: 0.4073 | Train Acc: 84.27% | Val Loss: 0.4091 | Val Acc: 84.23%
Epoch 9 | Train Loss: 0.3947 | Train Acc: 85.02% | Val Loss: 0.3966 | Val Acc: 85.08%
Epoch 10 | Train Loss: 0.3832 | Train Acc: 85.59% | Val Loss: 0.3853 | Val Acc: 85.77%
85.76666666666667 86.53999999999999
