Epoch 1 | Train Loss: 0.8803 | Train Acc: 37.55% | Val Loss: 0.8809 | Val Acc: 36.85%
Epoch 2 | Train Loss: 0.8597 | Train Acc: 27.22% | Val Loss: 0.8599 | Val Acc: 28.23%
Epoch 3 | Train Loss: 0.8292 | Train Acc: 48.52% | Val Loss: 0.8287 | Val Acc: 49.33%
Epoch 4 | Train Loss: 0.7938 | Train Acc: 54.81% | Val Loss: 0.7930 | Val Acc: 55.52%
Epoch 5 | Train Loss: 0.7578 | Train Acc: 56.60% | Val Loss: 0.7571 | Val Acc: 56.12%
Epoch 6 | Train Loss: 0.7208 | Train Acc: 61.64% | Val Loss: 0.7199 | Val Acc: 61.27%
Epoch 7 | Train Loss: 0.6804 | Train Acc: 65.85% | Val Loss: 0.6797 | Val Acc: 65.38%
Epoch 8 | Train Loss: 0.6412 | Train Acc: 66.54% | Val Loss: 0.6406 | Val Acc: 66.10%
Epoch 9 | Train Loss: 0.6076 | Train Acc: 67.61% | Val Loss: 0.6076 | Val Acc: 66.62%
Epoch 10 | Train Loss: 0.5801 | Train Acc: 68.73% | Val Loss: 0.5808 | Val Acc: 68.47%
68.46666666666667 69.39999999999999
