Epoch 1 | Train Loss: 0.3842 | Train Acc: 79.75% | Val Loss: 0.3903 | Val Acc: 79.33%
Epoch 2 | Train Loss: 0.3478 | Train Acc: 81.66% | Val Loss: 0.3536 | Val Acc: 81.22%
Epoch 3 | Train Loss: 0.3328 | Train Acc: 82.34% | Val Loss: 0.3385 | Val Acc: 81.97%
Epoch 4 | Train Loss: 0.3206 | Train Acc: 82.86% | Val Loss: 0.3263 | Val Acc: 82.52%
Epoch 5 | Train Loss: 0.3047 | Train Acc: 83.08% | Val Loss: 0.3094 | Val Acc: 82.83%
Epoch 6 | Train Loss: 0.3053 | Train Acc: 83.28% | Val Loss: 0.3100 | Val Acc: 83.00%
Epoch 7 | Train Loss: 0.2923 | Train Acc: 83.95% | Val Loss: 0.2976 | Val Acc: 83.63%
Epoch 8 | Train Loss: 0.2865 | Train Acc: 83.84% | Val Loss: 0.2918 | Val Acc: 83.60%
Epoch 9 | Train Loss: 0.2804 | Train Acc: 84.24% | Val Loss: 0.2859 | Val Acc: 84.25%
Epoch 10 | Train Loss: 0.2769 | Train Acc: 84.65% | Val Loss: 0.2824 | Val Acc: 84.58%
84.58333333333333 83.22
