Epoch 1 | Train Loss: 0.3855 | Train Acc: 79.47% | Val Loss: 0.3889 | Val Acc: 79.10%
Epoch 2 | Train Loss: 0.3415 | Train Acc: 81.38% | Val Loss: 0.3443 | Val Acc: 81.28%
Epoch 3 | Train Loss: 0.3201 | Train Acc: 81.73% | Val Loss: 0.3234 | Val Acc: 81.60%
Epoch 4 | Train Loss: 0.3041 | Train Acc: 82.87% | Val Loss: 0.3078 | Val Acc: 82.73%
Epoch 5 | Train Loss: 0.2953 | Train Acc: 83.15% | Val Loss: 0.2995 | Val Acc: 83.17%
Epoch 6 | Train Loss: 0.2855 | Train Acc: 83.86% | Val Loss: 0.2907 | Val Acc: 83.75%
Epoch 7 | Train Loss: 0.2757 | Train Acc: 83.99% | Val Loss: 0.2810 | Val Acc: 83.95%
Epoch 8 | Train Loss: 0.2763 | Train Acc: 83.93% | Val Loss: 0.2814 | Val Acc: 83.85%
Epoch 9 | Train Loss: 0.2640 | Train Acc: 84.60% | Val Loss: 0.2702 | Val Acc: 84.38%
Epoch 10 | Train Loss: 0.2637 | Train Acc: 84.71% | Val Loss: 0.2701 | Val Acc: 84.55%
84.55 83.21
