Epoch 1 | Train Loss: 0.3163 | Train Acc: 88.39% | Val Loss: 0.3172 | Val Acc: 88.67%
Epoch 2 | Train Loss: 0.2440 | Train Acc: 90.93% | Val Loss: 0.2435 | Val Acc: 91.40%
Epoch 3 | Train Loss: 0.2124 | Train Acc: 92.29% | Val Loss: 0.2124 | Val Acc: 92.65%
Epoch 4 | Train Loss: 0.1924 | Train Acc: 92.76% | Val Loss: 0.1920 | Val Acc: 93.27%
Epoch 5 | Train Loss: 0.1742 | Train Acc: 93.38% | Val Loss: 0.1739 | Val Acc: 93.72%
Epoch 6 | Train Loss: 0.1633 | Train Acc: 93.69% | Val Loss: 0.1629 | Val Acc: 93.88%
Epoch 7 | Train Loss: 0.1559 | Train Acc: 94.04% | Val Loss: 0.1562 | Val Acc: 94.07%
Epoch 8 | Train Loss: 0.1486 | Train Acc: 94.39% | Val Loss: 0.1496 | Val Acc: 94.38%
Epoch 9 | Train Loss: 0.1428 | Train Acc: 94.59% | Val Loss: 0.1439 | Val Acc: 94.45%
Epoch 10 | Train Loss: 0.1370 | Train Acc: 94.67% | Val Loss: 0.1381 | Val Acc: 94.68%
94.68333333333334 94.54
