Epoch 1 | Train Loss: 0.7670 | Train Acc: 62.14% | Val Loss: 0.7718 | Val Acc: 61.32%
Epoch 2 | Train Loss: 0.6431 | Train Acc: 68.96% | Val Loss: 0.6467 | Val Acc: 68.10%
Epoch 3 | Train Loss: 0.5805 | Train Acc: 72.23% | Val Loss: 0.5835 | Val Acc: 71.67%
Epoch 4 | Train Loss: 0.5382 | Train Acc: 74.43% | Val Loss: 0.5406 | Val Acc: 73.77%
Epoch 5 | Train Loss: 0.5096 | Train Acc: 76.08% | Val Loss: 0.5119 | Val Acc: 75.48%
Epoch 6 | Train Loss: 0.4869 | Train Acc: 76.69% | Val Loss: 0.4890 | Val Acc: 76.43%
Epoch 7 | Train Loss: 0.4704 | Train Acc: 77.33% | Val Loss: 0.4725 | Val Acc: 77.33%
Epoch 8 | Train Loss: 0.4561 | Train Acc: 78.03% | Val Loss: 0.4581 | Val Acc: 77.78%
Epoch 9 | Train Loss: 0.4460 | Train Acc: 78.40% | Val Loss: 0.4478 | Val Acc: 78.20%
Epoch 10 | Train Loss: 0.4355 | Train Acc: 78.69% | Val Loss: 0.4372 | Val Acc: 78.63%
78.63333333333333 77.96
