Epoch 1 | Train Loss: 0.5056 | Train Acc: 71.29% | Val Loss: 0.5129 | Val Acc: 70.45%
Epoch 2 | Train Loss: 0.4536 | Train Acc: 74.21% | Val Loss: 0.4615 | Val Acc: 73.30%
Epoch 3 | Train Loss: 0.4279 | Train Acc: 76.33% | Val Loss: 0.4356 | Val Acc: 75.70%
Epoch 4 | Train Loss: 0.4120 | Train Acc: 77.49% | Val Loss: 0.4195 | Val Acc: 76.73%
Epoch 5 | Train Loss: 0.3990 | Train Acc: 78.13% | Val Loss: 0.4065 | Val Acc: 77.75%
Epoch 6 | Train Loss: 0.3908 | Train Acc: 78.77% | Val Loss: 0.3981 | Val Acc: 78.52%
Epoch 7 | Train Loss: 0.3813 | Train Acc: 79.33% | Val Loss: 0.3888 | Val Acc: 79.02%
Epoch 8 | Train Loss: 0.3747 | Train Acc: 79.71% | Val Loss: 0.3818 | Val Acc: 79.60%
Epoch 9 | Train Loss: 0.3686 | Train Acc: 80.20% | Val Loss: 0.3754 | Val Acc: 79.72%
Epoch 10 | Train Loss: 0.3642 | Train Acc: 80.38% | Val Loss: 0.3709 | Val Acc: 80.20%
80.2 79.27
