Epoch 1 | Train Loss: 2.7566 | Train Acc: 10.43% | Val Loss: 2.7680 | Val Acc: 10.55%
Epoch 2 | Train Loss: 8.7821 | Train Acc: 9.97% | Val Loss: 8.7941 | Val Acc: 9.53%
Epoch 3 | Train Loss: 9.8515 | Train Acc: 9.02% | Val Loss: 9.8516 | Val Acc: 9.18%
Epoch 4 | Train Loss: 7.3331 | Train Acc: 10.26% | Val Loss: 7.3619 | Val Acc: 9.82%
Epoch 5 | Train Loss: 5.7802 | Train Acc: 9.89% | Val Loss: 5.7719 | Val Acc: 9.67%
Epoch 6 | Train Loss: 6.4386 | Train Acc: 9.85% | Val Loss: 6.4070 | Val Acc: 10.53%
Epoch 7 | Train Loss: 6.8290 | Train Acc: 10.26% | Val Loss: 6.8471 | Val Acc: 9.82%
Epoch 8 | Train Loss: 7.1070 | Train Acc: 11.27% | Val Loss: 7.0760 | Val Acc: 10.90%
Epoch 9 | Train Loss: 5.3846 | Train Acc: 9.85% | Val Loss: 5.3513 | Val Acc: 10.53%
Epoch 10 | Train Loss: 3.8092 | Train Acc: 9.75% | Val Loss: 3.7935 | Val Acc: 9.75%
9.75 9.74
