Epoch 1 | Train Loss: 0.3355 | Train Acc: 81.19% | Val Loss: 0.3413 | Val Acc: 80.48%
Epoch 2 | Train Loss: 0.3190 | Train Acc: 81.44% | Val Loss: 0.3242 | Val Acc: 80.98%
Epoch 3 | Train Loss: 0.3133 | Train Acc: 82.02% | Val Loss: 0.3183 | Val Acc: 81.47%
Epoch 4 | Train Loss: 0.3103 | Train Acc: 82.16% | Val Loss: 0.3158 | Val Acc: 81.90%
Epoch 5 | Train Loss: 0.3067 | Train Acc: 82.12% | Val Loss: 0.3121 | Val Acc: 81.63%
Epoch 6 | Train Loss: 0.3070 | Train Acc: 81.92% | Val Loss: 0.3120 | Val Acc: 81.42%
Epoch 7 | Train Loss: 0.3058 | Train Acc: 82.17% | Val Loss: 0.3113 | Val Acc: 81.83%
Epoch 8 | Train Loss: 0.3039 | Train Acc: 82.51% | Val Loss: 0.3096 | Val Acc: 82.03%
Epoch 9 | Train Loss: 0.3008 | Train Acc: 82.54% | Val Loss: 0.3062 | Val Acc: 82.68%
Epoch 10 | Train Loss: 0.2987 | Train Acc: 82.41% | Val Loss: 0.3040 | Val Acc: 82.12%
82.11666666666667 81.26
