Epoch 1 | Train Loss: 0.4673 | Train Acc: 76.07% | Val Loss: 0.4708 | Val Acc: 75.97%
Epoch 2 | Train Loss: 0.4100 | Train Acc: 78.92% | Val Loss: 0.4132 | Val Acc: 78.90%
Epoch 3 | Train Loss: 0.3826 | Train Acc: 80.27% | Val Loss: 0.3860 | Val Acc: 80.12%
Epoch 4 | Train Loss: 0.3637 | Train Acc: 80.94% | Val Loss: 0.3670 | Val Acc: 80.75%
Epoch 5 | Train Loss: 0.3479 | Train Acc: 81.52% | Val Loss: 0.3512 | Val Acc: 81.30%
Epoch 6 | Train Loss: 0.3371 | Train Acc: 81.80% | Val Loss: 0.3405 | Val Acc: 81.58%
Epoch 7 | Train Loss: 0.3285 | Train Acc: 82.25% | Val Loss: 0.3321 | Val Acc: 81.95%
Epoch 8 | Train Loss: 0.3213 | Train Acc: 82.47% | Val Loss: 0.3251 | Val Acc: 82.18%
Epoch 9 | Train Loss: 0.3148 | Train Acc: 82.64% | Val Loss: 0.3187 | Val Acc: 82.40%
Epoch 10 | Train Loss: 0.3092 | Train Acc: 82.99% | Val Loss: 0.3133 | Val Acc: 82.52%
82.51666666666667 81.97
