Epoch 1 | Train Loss: 0.6150 | Train Acc: 66.66% | Val Loss: 0.6212 | Val Acc: 66.13%
Epoch 2 | Train Loss: 0.5224 | Train Acc: 73.06% | Val Loss: 0.5275 | Val Acc: 72.72%
Epoch 3 | Train Loss: 0.4773 | Train Acc: 74.95% | Val Loss: 0.4822 | Val Acc: 74.95%
Epoch 4 | Train Loss: 0.4499 | Train Acc: 76.39% | Val Loss: 0.4545 | Val Acc: 76.52%
Epoch 5 | Train Loss: 0.4311 | Train Acc: 77.24% | Val Loss: 0.4353 | Val Acc: 77.12%
Epoch 6 | Train Loss: 0.4178 | Train Acc: 78.11% | Val Loss: 0.4218 | Val Acc: 78.02%
Epoch 7 | Train Loss: 0.4071 | Train Acc: 78.39% | Val Loss: 0.4108 | Val Acc: 78.33%
Epoch 8 | Train Loss: 0.3978 | Train Acc: 78.63% | Val Loss: 0.4014 | Val Acc: 78.37%
Epoch 9 | Train Loss: 0.3894 | Train Acc: 79.19% | Val Loss: 0.3930 | Val Acc: 79.12%
Epoch 10 | Train Loss: 0.3833 | Train Acc: 79.58% | Val Loss: 0.3867 | Val Acc: 79.43%
79.43333333333334 78.56
