Epoch 1 | Train Loss: 0.4164 | Train Acc: 83.94% | Val Loss: 0.4196 | Val Acc: 83.78%
Epoch 2 | Train Loss: 0.3696 | Train Acc: 87.14% | Val Loss: 0.3725 | Val Acc: 86.98%
Epoch 3 | Train Loss: 0.3381 | Train Acc: 88.11% | Val Loss: 0.3407 | Val Acc: 88.18%
Epoch 4 | Train Loss: 0.3208 | Train Acc: 88.31% | Val Loss: 0.3242 | Val Acc: 88.42%
Epoch 5 | Train Loss: 0.3062 | Train Acc: 89.06% | Val Loss: 0.3092 | Val Acc: 89.27%
Epoch 6 | Train Loss: 0.2963 | Train Acc: 89.09% | Val Loss: 0.2993 | Val Acc: 89.23%
Epoch 7 | Train Loss: 0.2840 | Train Acc: 89.65% | Val Loss: 0.2867 | Val Acc: 89.85%
Epoch 8 | Train Loss: 0.2806 | Train Acc: 89.91% | Val Loss: 0.2825 | Val Acc: 90.13%
Epoch 9 | Train Loss: 0.2733 | Train Acc: 89.96% | Val Loss: 0.2751 | Val Acc: 90.27%
Epoch 10 | Train Loss: 0.2673 | Train Acc: 90.40% | Val Loss: 0.2694 | Val Acc: 90.50%
90.5 90.95
