Epoch 1 | Train Loss: 0.8511 | Train Acc: 49.32% | Val Loss: 0.8514 | Val Acc: 49.72%
Epoch 2 | Train Loss: 0.7690 | Train Acc: 45.86% | Val Loss: 0.7707 | Val Acc: 44.97%
Epoch 3 | Train Loss: 0.7098 | Train Acc: 55.47% | Val Loss: 0.7111 | Val Acc: 55.15%
Epoch 4 | Train Loss: 0.6691 | Train Acc: 57.07% | Val Loss: 0.6720 | Val Acc: 56.38%
Epoch 5 | Train Loss: 0.6303 | Train Acc: 56.82% | Val Loss: 0.6343 | Val Acc: 56.32%
Epoch 6 | Train Loss: 0.5903 | Train Acc: 61.61% | Val Loss: 0.5955 | Val Acc: 60.98%
Epoch 7 | Train Loss: 0.5606 | Train Acc: 64.97% | Val Loss: 0.5666 | Val Acc: 64.08%
Epoch 8 | Train Loss: 0.5378 | Train Acc: 67.54% | Val Loss: 0.5428 | Val Acc: 67.32%
Epoch 9 | Train Loss: 0.4986 | Train Acc: 70.18% | Val Loss: 0.5047 | Val Acc: 69.08%
Epoch 10 | Train Loss: 0.4802 | Train Acc: 71.63% | Val Loss: 0.4862 | Val Acc: 71.40%
71.39999999999999 71.0
