Epoch 1 | Train Loss: 0.2555 | Train Acc: 91.39% | Val Loss: 0.2579 | Val Acc: 91.92%
Epoch 2 | Train Loss: 0.1997 | Train Acc: 93.37% | Val Loss: 0.2028 | Val Acc: 93.27%
Epoch 3 | Train Loss: 0.1758 | Train Acc: 94.02% | Val Loss: 0.1788 | Val Acc: 93.93%
Epoch 4 | Train Loss: 0.1674 | Train Acc: 94.24% | Val Loss: 0.1704 | Val Acc: 94.15%
Epoch 5 | Train Loss: 0.1543 | Train Acc: 94.71% | Val Loss: 0.1580 | Val Acc: 94.23%
Epoch 6 | Train Loss: 0.1440 | Train Acc: 95.05% | Val Loss: 0.1481 | Val Acc: 94.65%
Epoch 7 | Train Loss: 0.1399 | Train Acc: 95.09% | Val Loss: 0.1437 | Val Acc: 94.65%
Epoch 8 | Train Loss: 0.1344 | Train Acc: 95.43% | Val Loss: 0.1392 | Val Acc: 94.92%
Epoch 9 | Train Loss: 0.1292 | Train Acc: 95.38% | Val Loss: 0.1339 | Val Acc: 95.08%
Epoch 10 | Train Loss: 0.1277 | Train Acc: 95.56% | Val Loss: 0.1330 | Val Acc: 95.05%
95.05 95.3
