Epoch 1 | Train Loss: 0.3619 | Train Acc: 80.90% | Val Loss: 0.3636 | Val Acc: 80.78%
Epoch 2 | Train Loss: 0.3209 | Train Acc: 82.69% | Val Loss: 0.3239 | Val Acc: 82.57%
Epoch 3 | Train Loss: 0.3061 | Train Acc: 82.99% | Val Loss: 0.3096 | Val Acc: 82.88%
Epoch 4 | Train Loss: 0.2856 | Train Acc: 83.95% | Val Loss: 0.2900 | Val Acc: 83.73%
Epoch 5 | Train Loss: 0.2761 | Train Acc: 84.34% | Val Loss: 0.2811 | Val Acc: 83.98%
Epoch 6 | Train Loss: 0.2689 | Train Acc: 84.50% | Val Loss: 0.2738 | Val Acc: 84.30%
Epoch 7 | Train Loss: 0.2625 | Train Acc: 84.71% | Val Loss: 0.2681 | Val Acc: 84.28%
Epoch 8 | Train Loss: 0.2578 | Train Acc: 85.08% | Val Loss: 0.2642 | Val Acc: 84.85%
Epoch 9 | Train Loss: 0.2514 | Train Acc: 85.28% | Val Loss: 0.2586 | Val Acc: 84.80%
Epoch 10 | Train Loss: 0.2514 | Train Acc: 85.36% | Val Loss: 0.2584 | Val Acc: 84.62%
84.61666666666666 83.66
