Epoch 1 | Train Loss: 0.3371 | Train Acc: 81.21% | Val Loss: 0.3428 | Val Acc: 80.70%
Epoch 2 | Train Loss: 0.2974 | Train Acc: 82.59% | Val Loss: 0.3018 | Val Acc: 82.45%
Epoch 3 | Train Loss: 0.2760 | Train Acc: 83.97% | Val Loss: 0.2812 | Val Acc: 83.68%
Epoch 4 | Train Loss: 0.2607 | Train Acc: 84.86% | Val Loss: 0.2676 | Val Acc: 84.42%
Epoch 5 | Train Loss: 0.2521 | Train Acc: 85.26% | Val Loss: 0.2602 | Val Acc: 84.47%
Epoch 6 | Train Loss: 0.2410 | Train Acc: 85.45% | Val Loss: 0.2495 | Val Acc: 84.60%
Epoch 7 | Train Loss: 0.2336 | Train Acc: 85.97% | Val Loss: 0.2422 | Val Acc: 85.48%
Epoch 8 | Train Loss: 0.2299 | Train Acc: 86.36% | Val Loss: 0.2389 | Val Acc: 85.33%
Epoch 9 | Train Loss: 0.2275 | Train Acc: 86.57% | Val Loss: 0.2385 | Val Acc: 85.92%
Epoch 10 | Train Loss: 0.2270 | Train Acc: 86.65% | Val Loss: 0.2386 | Val Acc: 85.82%
85.81666666666666 84.86
