Epoch 1 | Train Loss: 0.1810 | Train Acc: 92.81% | Val Loss: 0.1814 | Val Acc: 92.90%
Epoch 2 | Train Loss: 0.1443 | Train Acc: 94.78% | Val Loss: 0.1460 | Val Acc: 94.73%
Epoch 3 | Train Loss: 0.1250 | Train Acc: 95.81% | Val Loss: 0.1281 | Val Acc: 95.38%
Epoch 4 | Train Loss: 0.1124 | Train Acc: 96.34% | Val Loss: 0.1174 | Val Acc: 96.05%
Epoch 5 | Train Loss: 0.1051 | Train Acc: 96.83% | Val Loss: 0.1118 | Val Acc: 96.47%
Epoch 6 | Train Loss: 0.0990 | Train Acc: 97.11% | Val Loss: 0.1060 | Val Acc: 96.62%
Epoch 7 | Train Loss: 0.0949 | Train Acc: 97.29% | Val Loss: 0.1033 | Val Acc: 96.80%
Epoch 8 | Train Loss: 0.0906 | Train Acc: 97.47% | Val Loss: 0.1003 | Val Acc: 96.92%
Epoch 9 | Train Loss: 0.0871 | Train Acc: 97.65% | Val Loss: 0.0975 | Val Acc: 96.93%
Epoch 10 | Train Loss: 0.0853 | Train Acc: 97.66% | Val Loss: 0.0966 | Val Acc: 96.90%
96.89999999999999 96.99
