Epoch 1 | Train Loss: 0.2321 | Train Acc: 90.02% | Val Loss: 0.2323 | Val Acc: 90.18%
Epoch 2 | Train Loss: 0.1972 | Train Acc: 91.53% | Val Loss: 0.1972 | Val Acc: 91.53%
Epoch 3 | Train Loss: 0.1870 | Train Acc: 92.12% | Val Loss: 0.1876 | Val Acc: 91.97%
Epoch 4 | Train Loss: 0.1796 | Train Acc: 92.50% | Val Loss: 0.1807 | Val Acc: 92.52%
Epoch 5 | Train Loss: 0.1758 | Train Acc: 92.63% | Val Loss: 0.1767 | Val Acc: 92.80%
Epoch 6 | Train Loss: 0.1726 | Train Acc: 92.83% | Val Loss: 0.1738 | Val Acc: 92.83%
Epoch 7 | Train Loss: 0.1721 | Train Acc: 93.04% | Val Loss: 0.1732 | Val Acc: 93.08%
Epoch 8 | Train Loss: 0.1686 | Train Acc: 93.21% | Val Loss: 0.1706 | Val Acc: 93.00%
Epoch 9 | Train Loss: 0.1690 | Train Acc: 93.31% | Val Loss: 0.1709 | Val Acc: 93.42%
Epoch 10 | Train Loss: 0.1661 | Train Acc: 93.46% | Val Loss: 0.1678 | Val Acc: 93.50%
93.5 93.7
