Epoch 1 | Train Loss: 0.7914 | Train Acc: 41.94% | Val Loss: 0.7922 | Val Acc: 42.18%
Epoch 2 | Train Loss: 0.6991 | Train Acc: 50.53% | Val Loss: 0.7012 | Val Acc: 50.23%
Epoch 3 | Train Loss: 0.6299 | Train Acc: 65.65% | Val Loss: 0.6329 | Val Acc: 65.78%
Epoch 4 | Train Loss: 0.5669 | Train Acc: 66.00% | Val Loss: 0.5716 | Val Acc: 66.02%
Epoch 5 | Train Loss: 0.5268 | Train Acc: 68.45% | Val Loss: 0.5328 | Val Acc: 68.25%
Epoch 6 | Train Loss: 0.5005 | Train Acc: 70.21% | Val Loss: 0.5069 | Val Acc: 69.70%
Epoch 7 | Train Loss: 0.4813 | Train Acc: 70.96% | Val Loss: 0.4875 | Val Acc: 70.40%
Epoch 8 | Train Loss: 0.4648 | Train Acc: 72.18% | Val Loss: 0.4713 | Val Acc: 71.62%
Epoch 9 | Train Loss: 0.4490 | Train Acc: 72.73% | Val Loss: 0.4558 | Val Acc: 72.28%
Epoch 10 | Train Loss: 0.4395 | Train Acc: 73.72% | Val Loss: 0.4459 | Val Acc: 73.37%
73.36666666666667 73.0
