Epoch 1 | Train Loss: 0.3182 | Train Acc: 81.87% | Val Loss: 0.3233 | Val Acc: 81.28%
Epoch 2 | Train Loss: 0.2758 | Train Acc: 84.14% | Val Loss: 0.2810 | Val Acc: 83.62%
Epoch 3 | Train Loss: 0.2587 | Train Acc: 84.84% | Val Loss: 0.2664 | Val Acc: 84.33%
Epoch 4 | Train Loss: 0.2450 | Train Acc: 85.61% | Val Loss: 0.2532 | Val Acc: 84.80%
Epoch 5 | Train Loss: 0.2401 | Train Acc: 86.06% | Val Loss: 0.2500 | Val Acc: 85.17%
Epoch 6 | Train Loss: 0.2248 | Train Acc: 86.43% | Val Loss: 0.2355 | Val Acc: 85.43%
Epoch 7 | Train Loss: 0.2245 | Train Acc: 86.35% | Val Loss: 0.2358 | Val Acc: 85.70%
Epoch 8 | Train Loss: 0.2185 | Train Acc: 86.83% | Val Loss: 0.2319 | Val Acc: 85.93%
Epoch 9 | Train Loss: 0.2200 | Train Acc: 86.83% | Val Loss: 0.2332 | Val Acc: 85.98%
Epoch 10 | Train Loss: 0.2132 | Train Acc: 87.11% | Val Loss: 0.2280 | Val Acc: 86.00%
86.0 85.25
