Epoch 1 | Train Loss: 0.3777 | Train Acc: 79.98% | Val Loss: 0.3827 | Val Acc: 79.57%
Epoch 2 | Train Loss: 0.3412 | Train Acc: 81.60% | Val Loss: 0.3466 | Val Acc: 81.18%
Epoch 3 | Train Loss: 0.3218 | Train Acc: 82.49% | Val Loss: 0.3267 | Val Acc: 82.25%
Epoch 4 | Train Loss: 0.3094 | Train Acc: 82.66% | Val Loss: 0.3137 | Val Acc: 82.38%
Epoch 5 | Train Loss: 0.2946 | Train Acc: 83.19% | Val Loss: 0.2992 | Val Acc: 82.98%
Epoch 6 | Train Loss: 0.2908 | Train Acc: 83.30% | Val Loss: 0.2956 | Val Acc: 82.85%
Epoch 7 | Train Loss: 0.2841 | Train Acc: 83.78% | Val Loss: 0.2892 | Val Acc: 83.37%
Epoch 8 | Train Loss: 0.2749 | Train Acc: 84.25% | Val Loss: 0.2806 | Val Acc: 84.03%
Epoch 9 | Train Loss: 0.2709 | Train Acc: 84.31% | Val Loss: 0.2765 | Val Acc: 83.82%
Epoch 10 | Train Loss: 0.2661 | Train Acc: 84.54% | Val Loss: 0.2722 | Val Acc: 84.00%
84.0 83.31
