Epoch 1 | Train Loss: 0.4040 | Train Acc: 83.49% | Val Loss: 0.4062 | Val Acc: 83.22%
Epoch 2 | Train Loss: 0.3908 | Train Acc: 85.15% | Val Loss: 0.3931 | Val Acc: 85.08%
Epoch 3 | Train Loss: 0.3911 | Train Acc: 84.19% | Val Loss: 0.3938 | Val Acc: 84.08%
Epoch 4 | Train Loss: 0.3866 | Train Acc: 85.31% | Val Loss: 0.3886 | Val Acc: 85.63%
Epoch 5 | Train Loss: 0.3885 | Train Acc: 83.74% | Val Loss: 0.3915 | Val Acc: 83.22%
Epoch 6 | Train Loss: 0.3865 | Train Acc: 83.98% | Val Loss: 0.3889 | Val Acc: 83.90%
Epoch 7 | Train Loss: 0.3874 | Train Acc: 84.76% | Val Loss: 0.3895 | Val Acc: 84.92%
Epoch 8 | Train Loss: 0.3863 | Train Acc: 84.83% | Val Loss: 0.3891 | Val Acc: 85.07%
Epoch 9 | Train Loss: 0.3863 | Train Acc: 85.00% | Val Loss: 0.3884 | Val Acc: 85.10%
Epoch 10 | Train Loss: 0.3865 | Train Acc: 85.42% | Val Loss: 0.3891 | Val Acc: 85.43%
85.43333333333332 86.25
