Epoch 1 | Train Loss: 0.2407 | Train Acc: 90.30% | Val Loss: 0.2430 | Val Acc: 90.18%
Epoch 2 | Train Loss: 0.1969 | Train Acc: 91.88% | Val Loss: 0.1989 | Val Acc: 91.67%
Epoch 3 | Train Loss: 0.1781 | Train Acc: 92.73% | Val Loss: 0.1807 | Val Acc: 92.58%
Epoch 4 | Train Loss: 0.1649 | Train Acc: 93.30% | Val Loss: 0.1686 | Val Acc: 93.02%
Epoch 5 | Train Loss: 0.1564 | Train Acc: 93.75% | Val Loss: 0.1605 | Val Acc: 93.62%
Epoch 6 | Train Loss: 0.1499 | Train Acc: 94.09% | Val Loss: 0.1553 | Val Acc: 93.67%
Epoch 7 | Train Loss: 0.1439 | Train Acc: 94.34% | Val Loss: 0.1494 | Val Acc: 93.92%
Epoch 8 | Train Loss: 0.1400 | Train Acc: 94.61% | Val Loss: 0.1465 | Val Acc: 94.20%
Epoch 9 | Train Loss: 0.1350 | Train Acc: 94.87% | Val Loss: 0.1414 | Val Acc: 94.48%
Epoch 10 | Train Loss: 0.1323 | Train Acc: 95.13% | Val Loss: 0.1398 | Val Acc: 94.53%
94.53333333333333 94.87
