Epoch 1 | Train Loss: 0.3807 | Train Acc: 76.23% | Val Loss: 0.3880 | Val Acc: 75.62%
Epoch 2 | Train Loss: 0.3222 | Train Acc: 81.85% | Val Loss: 0.3304 | Val Acc: 81.42%
Epoch 3 | Train Loss: 0.3001 | Train Acc: 82.77% | Val Loss: 0.3081 | Val Acc: 82.78%
Epoch 4 | Train Loss: 0.2823 | Train Acc: 83.62% | Val Loss: 0.2896 | Val Acc: 83.33%
Epoch 5 | Train Loss: 0.2745 | Train Acc: 84.09% | Val Loss: 0.2818 | Val Acc: 83.57%
Epoch 6 | Train Loss: 0.2690 | Train Acc: 84.29% | Val Loss: 0.2764 | Val Acc: 83.72%
Epoch 7 | Train Loss: 0.2649 | Train Acc: 84.61% | Val Loss: 0.2728 | Val Acc: 84.03%
Epoch 8 | Train Loss: 0.2641 | Train Acc: 84.30% | Val Loss: 0.2706 | Val Acc: 83.90%
Epoch 9 | Train Loss: 0.2607 | Train Acc: 84.47% | Val Loss: 0.2675 | Val Acc: 83.98%
Epoch 10 | Train Loss: 0.2598 | Train Acc: 84.59% | Val Loss: 0.2672 | Val Acc: 83.97%
83.96666666666667 83.35000000000001
