Epoch 1 | Train Loss: 0.3045 | Train Acc: 82.68% | Val Loss: 0.3130 | Val Acc: 82.18%
Epoch 2 | Train Loss: 0.2775 | Train Acc: 84.06% | Val Loss: 0.2857 | Val Acc: 83.52%
Epoch 3 | Train Loss: 0.2596 | Train Acc: 84.64% | Val Loss: 0.2670 | Val Acc: 84.18%
Epoch 4 | Train Loss: 0.2561 | Train Acc: 84.56% | Val Loss: 0.2634 | Val Acc: 84.12%
Epoch 5 | Train Loss: 0.2554 | Train Acc: 84.74% | Val Loss: 0.2622 | Val Acc: 84.15%
Epoch 6 | Train Loss: 0.2643 | Train Acc: 83.94% | Val Loss: 0.2727 | Val Acc: 83.43%
Epoch 7 | Train Loss: 0.2539 | Train Acc: 85.18% | Val Loss: 0.2617 | Val Acc: 84.82%
Epoch 8 | Train Loss: 0.2634 | Train Acc: 84.37% | Val Loss: 0.2705 | Val Acc: 83.85%
Epoch 9 | Train Loss: 0.2614 | Train Acc: 84.30% | Val Loss: 0.2684 | Val Acc: 84.20%
Epoch 10 | Train Loss: 0.2545 | Train Acc: 85.14% | Val Loss: 0.2619 | Val Acc: 84.68%
84.68333333333334 83.47
