Epoch 1 | Train Loss: 20.8808 | Train Acc: 9.83% | Val Loss: 21.4380 | Val Acc: 10.52%
Epoch 2 | Train Loss: 5.0042 | Train Acc: 9.86% | Val Loss: 4.9008 | Val Acc: 10.50%
Epoch 3 | Train Loss: 1.9701 | Train Acc: 9.85% | Val Loss: 1.7548 | Val Acc: 10.53%
Epoch 4 | Train Loss: 1.1548 | Train Acc: 9.81% | Val Loss: 1.0354 | Val Acc: 10.48%
Epoch 5 | Train Loss: 0.9399 | Train Acc: 10.25% | Val Loss: 0.9155 | Val Acc: 9.83%
Epoch 6 | Train Loss: 0.9071 | Train Acc: 9.89% | Val Loss: 0.9046 | Val Acc: 9.67%
Epoch 7 | Train Loss: 0.8724 | Train Acc: 38.63% | Val Loss: 0.8694 | Val Acc: 39.80%
Epoch 8 | Train Loss: 0.6705 | Train Acc: 52.24% | Val Loss: 0.6752 | Val Acc: 52.25%
Epoch 9 | Train Loss: 0.6302 | Train Acc: 58.44% | Val Loss: 0.6348 | Val Acc: 57.13%
Epoch 10 | Train Loss: 1.0055 | Train Acc: 40.96% | Val Loss: 1.0099 | Val Acc: 40.18%
40.18333333333333 41.9
