Epoch 1 | Train Loss: 0.4740 | Train Acc: 73.41% | Val Loss: 0.4804 | Val Acc: 72.58%
Epoch 2 | Train Loss: 0.4119 | Train Acc: 76.59% | Val Loss: 0.4193 | Val Acc: 76.03%
Epoch 3 | Train Loss: 0.3856 | Train Acc: 78.03% | Val Loss: 0.3929 | Val Acc: 77.73%
Epoch 4 | Train Loss: 0.3721 | Train Acc: 79.14% | Val Loss: 0.3794 | Val Acc: 78.65%
Epoch 5 | Train Loss: 0.3654 | Train Acc: 79.90% | Val Loss: 0.3727 | Val Acc: 79.73%
Epoch 6 | Train Loss: 0.3597 | Train Acc: 79.69% | Val Loss: 0.3669 | Val Acc: 79.43%
Epoch 7 | Train Loss: 0.3560 | Train Acc: 79.74% | Val Loss: 0.3633 | Val Acc: 79.48%
Epoch 8 | Train Loss: 0.3536 | Train Acc: 80.21% | Val Loss: 0.3608 | Val Acc: 79.97%
Epoch 9 | Train Loss: 0.3526 | Train Acc: 80.08% | Val Loss: 0.3594 | Val Acc: 79.75%
Epoch 10 | Train Loss: 0.3490 | Train Acc: 80.09% | Val Loss: 0.3561 | Val Acc: 79.87%
79.86666666666666 78.86999999999999
