Epoch 1 | Train Loss: 0.4246 | Train Acc: 78.30% | Val Loss: 0.4315 | Val Acc: 77.85%
Epoch 2 | Train Loss: 0.3714 | Train Acc: 80.70% | Val Loss: 0.3783 | Val Acc: 80.30%
Epoch 3 | Train Loss: 0.3447 | Train Acc: 81.73% | Val Loss: 0.3518 | Val Acc: 81.12%
Epoch 4 | Train Loss: 0.3266 | Train Acc: 82.57% | Val Loss: 0.3337 | Val Acc: 82.12%
Epoch 5 | Train Loss: 0.3133 | Train Acc: 83.17% | Val Loss: 0.3208 | Val Acc: 82.65%
Epoch 6 | Train Loss: 0.3024 | Train Acc: 83.49% | Val Loss: 0.3097 | Val Acc: 83.07%
Epoch 7 | Train Loss: 0.2944 | Train Acc: 83.94% | Val Loss: 0.3020 | Val Acc: 83.50%
Epoch 8 | Train Loss: 0.2881 | Train Acc: 84.29% | Val Loss: 0.2960 | Val Acc: 83.62%
Epoch 9 | Train Loss: 0.2819 | Train Acc: 84.49% | Val Loss: 0.2901 | Val Acc: 83.88%
Epoch 10 | Train Loss: 0.2777 | Train Acc: 84.69% | Val Loss: 0.2860 | Val Acc: 83.90%
83.89999999999999 83.19
