Epoch 1 | Train Loss: 0.2196 | Train Acc: 91.00% | Val Loss: 0.2192 | Val Acc: 91.13%
Epoch 2 | Train Loss: 0.1894 | Train Acc: 92.29% | Val Loss: 0.1898 | Val Acc: 92.35%
Epoch 3 | Train Loss: 0.1793 | Train Acc: 92.64% | Val Loss: 0.1795 | Val Acc: 92.68%
Epoch 4 | Train Loss: 0.1758 | Train Acc: 92.95% | Val Loss: 0.1761 | Val Acc: 93.03%
Epoch 5 | Train Loss: 0.1710 | Train Acc: 93.19% | Val Loss: 0.1714 | Val Acc: 93.10%
Epoch 6 | Train Loss: 0.1704 | Train Acc: 93.26% | Val Loss: 0.1715 | Val Acc: 93.42%
Epoch 7 | Train Loss: 0.1669 | Train Acc: 93.48% | Val Loss: 0.1674 | Val Acc: 93.32%
Epoch 8 | Train Loss: 0.1672 | Train Acc: 93.41% | Val Loss: 0.1685 | Val Acc: 93.27%
Epoch 9 | Train Loss: 0.1661 | Train Acc: 93.44% | Val Loss: 0.1663 | Val Acc: 93.67%
Epoch 10 | Train Loss: 0.1646 | Train Acc: 93.62% | Val Loss: 0.1655 | Val Acc: 93.40%
93.4 93.88
