Epoch 1 | Train Loss: 0.3758 | Train Acc: 86.31% | Val Loss: 0.3761 | Val Acc: 86.62%
Epoch 2 | Train Loss: 0.2962 | Train Acc: 89.33% | Val Loss: 0.2968 | Val Acc: 89.77%
Epoch 3 | Train Loss: 0.2560 | Train Acc: 90.61% | Val Loss: 0.2564 | Val Acc: 91.13%
Epoch 4 | Train Loss: 0.2323 | Train Acc: 91.32% | Val Loss: 0.2323 | Val Acc: 91.77%
Epoch 5 | Train Loss: 0.2175 | Train Acc: 91.77% | Val Loss: 0.2171 | Val Acc: 92.12%
Epoch 6 | Train Loss: 0.2075 | Train Acc: 92.09% | Val Loss: 0.2074 | Val Acc: 92.48%
Epoch 7 | Train Loss: 0.2003 | Train Acc: 92.27% | Val Loss: 0.2003 | Val Acc: 92.48%
Epoch 8 | Train Loss: 0.1943 | Train Acc: 92.46% | Val Loss: 0.1943 | Val Acc: 92.68%
Epoch 9 | Train Loss: 0.1898 | Train Acc: 92.58% | Val Loss: 0.1898 | Val Acc: 92.72%
Epoch 10 | Train Loss: 0.1860 | Train Acc: 92.68% | Val Loss: 0.1860 | Val Acc: 92.68%
92.68333333333332 92.86999999999999
