Epoch 1 | Train Loss: 0.8673 | Train Acc: 60.48% | Val Loss: 0.8677 | Val Acc: 60.00%
Epoch 2 | Train Loss: 0.7622 | Train Acc: 66.91% | Val Loss: 0.7626 | Val Acc: 67.05%
Epoch 3 | Train Loss: 0.6385 | Train Acc: 68.72% | Val Loss: 0.6391 | Val Acc: 68.57%
Epoch 4 | Train Loss: 0.5646 | Train Acc: 71.86% | Val Loss: 0.5655 | Val Acc: 71.87%
Epoch 5 | Train Loss: 0.5160 | Train Acc: 75.30% | Val Loss: 0.5172 | Val Acc: 75.07%
Epoch 6 | Train Loss: 0.4805 | Train Acc: 77.87% | Val Loss: 0.4820 | Val Acc: 77.27%
Epoch 7 | Train Loss: 0.4520 | Train Acc: 79.20% | Val Loss: 0.4541 | Val Acc: 78.62%
Epoch 8 | Train Loss: 0.4278 | Train Acc: 80.80% | Val Loss: 0.4301 | Val Acc: 80.52%
Epoch 9 | Train Loss: 0.4067 | Train Acc: 83.01% | Val Loss: 0.4093 | Val Acc: 82.90%
Epoch 10 | Train Loss: 0.3880 | Train Acc: 84.13% | Val Loss: 0.3906 | Val Acc: 83.97%
83.96666666666667 85.26
