Epoch 1 | Train Loss: 0.6534 | Train Acc: 63.87% | Val Loss: 0.6600 | Val Acc: 63.45%
Epoch 2 | Train Loss: 0.5418 | Train Acc: 75.34% | Val Loss: 0.5480 | Val Acc: 74.28%
Epoch 3 | Train Loss: 0.4803 | Train Acc: 80.25% | Val Loss: 0.4862 | Val Acc: 78.98%
Epoch 4 | Train Loss: 0.4384 | Train Acc: 82.88% | Val Loss: 0.4441 | Val Acc: 81.93%
Epoch 5 | Train Loss: 0.4068 | Train Acc: 84.63% | Val Loss: 0.4124 | Val Acc: 83.97%
Epoch 6 | Train Loss: 0.3817 | Train Acc: 85.79% | Val Loss: 0.3872 | Val Acc: 85.17%
Epoch 7 | Train Loss: 0.3610 | Train Acc: 86.74% | Val Loss: 0.3663 | Val Acc: 86.12%
Epoch 8 | Train Loss: 0.3437 | Train Acc: 87.47% | Val Loss: 0.3487 | Val Acc: 86.82%
Epoch 9 | Train Loss: 0.3288 | Train Acc: 88.08% | Val Loss: 0.3335 | Val Acc: 87.38%
Epoch 10 | Train Loss: 0.3159 | Train Acc: 88.56% | Val Loss: 0.3204 | Val Acc: 88.03%
88.03333333333333 89.39
