Epoch 1 | Train Loss: 0.6683 | Train Acc: 59.45% | Val Loss: 0.6735 | Val Acc: 58.80%
Epoch 2 | Train Loss: 0.5843 | Train Acc: 65.68% | Val Loss: 0.5911 | Val Acc: 65.50%
Epoch 3 | Train Loss: 0.5376 | Train Acc: 69.08% | Val Loss: 0.5448 | Val Acc: 68.35%
Epoch 4 | Train Loss: 0.5053 | Train Acc: 71.20% | Val Loss: 0.5129 | Val Acc: 70.13%
Epoch 5 | Train Loss: 0.4817 | Train Acc: 73.16% | Val Loss: 0.4894 | Val Acc: 71.87%
Epoch 6 | Train Loss: 0.4638 | Train Acc: 74.02% | Val Loss: 0.4719 | Val Acc: 72.73%
Epoch 7 | Train Loss: 0.4494 | Train Acc: 75.16% | Val Loss: 0.4577 | Val Acc: 74.17%
Epoch 8 | Train Loss: 0.4378 | Train Acc: 75.74% | Val Loss: 0.4460 | Val Acc: 74.85%
Epoch 9 | Train Loss: 0.4282 | Train Acc: 76.45% | Val Loss: 0.4366 | Val Acc: 75.53%
Epoch 10 | Train Loss: 0.4200 | Train Acc: 76.76% | Val Loss: 0.4284 | Val Acc: 75.95%
75.94999999999999 75.94
