Epoch 1 | Train Loss: 0.4647 | Train Acc: 81.83% | Val Loss: 0.4662 | Val Acc: 81.80%
Epoch 2 | Train Loss: 0.3911 | Train Acc: 86.12% | Val Loss: 0.3933 | Val Acc: 86.37%
Epoch 3 | Train Loss: 0.3466 | Train Acc: 87.31% | Val Loss: 0.3493 | Val Acc: 87.45%
Epoch 4 | Train Loss: 0.2929 | Train Acc: 88.85% | Val Loss: 0.2953 | Val Acc: 88.87%
Epoch 5 | Train Loss: 0.2616 | Train Acc: 89.55% | Val Loss: 0.2623 | Val Acc: 89.63%
Epoch 6 | Train Loss: 0.2361 | Train Acc: 90.39% | Val Loss: 0.2367 | Val Acc: 90.48%
Epoch 7 | Train Loss: 0.2187 | Train Acc: 90.99% | Val Loss: 0.2186 | Val Acc: 90.93%
Epoch 8 | Train Loss: 0.2053 | Train Acc: 91.36% | Val Loss: 0.2048 | Val Acc: 91.35%
Epoch 9 | Train Loss: 0.1950 | Train Acc: 91.48% | Val Loss: 0.1940 | Val Acc: 91.75%
Epoch 10 | Train Loss: 0.1874 | Train Acc: 91.74% | Val Loss: 0.1867 | Val Acc: 91.97%
91.96666666666667 92.09
