Epoch 1 | Train Loss: 0.3713 | Train Acc: 79.83% | Val Loss: 0.3756 | Val Acc: 79.57%
Epoch 2 | Train Loss: 0.3411 | Train Acc: 81.19% | Val Loss: 0.3455 | Val Acc: 81.17%
Epoch 3 | Train Loss: 0.3354 | Train Acc: 81.50% | Val Loss: 0.3401 | Val Acc: 81.25%
Epoch 4 | Train Loss: 0.3290 | Train Acc: 81.95% | Val Loss: 0.3338 | Val Acc: 81.52%
Epoch 5 | Train Loss: 0.3258 | Train Acc: 81.90% | Val Loss: 0.3306 | Val Acc: 81.60%
Epoch 6 | Train Loss: 0.3237 | Train Acc: 82.03% | Val Loss: 0.3280 | Val Acc: 81.60%
Epoch 7 | Train Loss: 0.3215 | Train Acc: 82.07% | Val Loss: 0.3262 | Val Acc: 81.93%
Epoch 8 | Train Loss: 0.3210 | Train Acc: 82.22% | Val Loss: 0.3260 | Val Acc: 82.03%
Epoch 9 | Train Loss: 0.3191 | Train Acc: 82.14% | Val Loss: 0.3240 | Val Acc: 81.95%
Epoch 10 | Train Loss: 0.3180 | Train Acc: 82.27% | Val Loss: 0.3226 | Val Acc: 81.83%
81.83333333333334 81.0
