Epoch 1 | Train Loss: 0.5639 | Train Acc: 79.56% | Val Loss: 0.5649 | Val Acc: 79.20%
Epoch 2 | Train Loss: 0.5838 | Train Acc: 75.06% | Val Loss: 0.5855 | Val Acc: 74.63%
Epoch 3 | Train Loss: 0.5849 | Train Acc: 72.82% | Val Loss: 0.5867 | Val Acc: 72.15%
Epoch 4 | Train Loss: 0.5829 | Train Acc: 72.91% | Val Loss: 0.5842 | Val Acc: 72.27%
Epoch 5 | Train Loss: 0.5813 | Train Acc: 72.53% | Val Loss: 0.5830 | Val Acc: 72.12%
Epoch 6 | Train Loss: 0.5778 | Train Acc: 71.86% | Val Loss: 0.5795 | Val Acc: 71.27%
Epoch 7 | Train Loss: 0.5766 | Train Acc: 71.66% | Val Loss: 0.5782 | Val Acc: 71.13%
Epoch 8 | Train Loss: 0.5755 | Train Acc: 71.54% | Val Loss: 0.5774 | Val Acc: 71.00%
Epoch 9 | Train Loss: 0.5746 | Train Acc: 71.24% | Val Loss: 0.5764 | Val Acc: 70.62%
Epoch 10 | Train Loss: 0.5731 | Train Acc: 71.51% | Val Loss: 0.5750 | Val Acc: 70.93%
70.93333333333334 72.41
