Epoch 1 | Train Loss: 0.2781 | Train Acc: 89.95% | Val Loss: 0.2804 | Val Acc: 89.98%
Epoch 2 | Train Loss: 0.2217 | Train Acc: 91.96% | Val Loss: 0.2232 | Val Acc: 92.10%
Epoch 3 | Train Loss: 0.1960 | Train Acc: 92.93% | Val Loss: 0.1980 | Val Acc: 92.90%
Epoch 4 | Train Loss: 0.1804 | Train Acc: 93.59% | Val Loss: 0.1833 | Val Acc: 93.70%
Epoch 5 | Train Loss: 0.1690 | Train Acc: 94.02% | Val Loss: 0.1721 | Val Acc: 94.00%
Epoch 6 | Train Loss: 0.1601 | Train Acc: 94.46% | Val Loss: 0.1644 | Val Acc: 94.33%
Epoch 7 | Train Loss: 0.1528 | Train Acc: 94.80% | Val Loss: 0.1574 | Val Acc: 94.60%
Epoch 8 | Train Loss: 0.1468 | Train Acc: 94.99% | Val Loss: 0.1517 | Val Acc: 94.98%
Epoch 9 | Train Loss: 0.1418 | Train Acc: 95.18% | Val Loss: 0.1470 | Val Acc: 95.15%
Epoch 10 | Train Loss: 0.1377 | Train Acc: 95.35% | Val Loss: 0.1431 | Val Acc: 95.33%
95.33333333333334 95.28
