Epoch 1 | Train Loss: 0.4008 | Train Acc: 83.49% | Val Loss: 0.4037 | Val Acc: 83.30%
Epoch 2 | Train Loss: 0.3887 | Train Acc: 84.60% | Val Loss: 0.3910 | Val Acc: 84.47%
Epoch 3 | Train Loss: 0.3872 | Train Acc: 85.06% | Val Loss: 0.3901 | Val Acc: 85.12%
Epoch 4 | Train Loss: 0.3903 | Train Acc: 85.59% | Val Loss: 0.3924 | Val Acc: 85.92%
Epoch 5 | Train Loss: 0.3869 | Train Acc: 84.90% | Val Loss: 0.3896 | Val Acc: 85.03%
Epoch 6 | Train Loss: 0.3828 | Train Acc: 84.18% | Val Loss: 0.3855 | Val Acc: 83.95%
Epoch 7 | Train Loss: 0.3845 | Train Acc: 84.64% | Val Loss: 0.3876 | Val Acc: 84.27%
Epoch 8 | Train Loss: 0.3830 | Train Acc: 84.61% | Val Loss: 0.3852 | Val Acc: 84.50%
Epoch 9 | Train Loss: 0.3858 | Train Acc: 81.93% | Val Loss: 0.3896 | Val Acc: 81.47%
Epoch 10 | Train Loss: 0.3836 | Train Acc: 84.28% | Val Loss: 0.3863 | Val Acc: 83.73%
83.73333333333333 85.31
