Epoch 1 | Train Loss: 0.3853 | Train Acc: 78.86% | Val Loss: 0.3893 | Val Acc: 78.63%
Epoch 2 | Train Loss: 0.3612 | Train Acc: 80.50% | Val Loss: 0.3658 | Val Acc: 80.40%
Epoch 3 | Train Loss: 0.3530 | Train Acc: 80.72% | Val Loss: 0.3577 | Val Acc: 80.53%
Epoch 4 | Train Loss: 0.3551 | Train Acc: 80.79% | Val Loss: 0.3604 | Val Acc: 80.48%
Epoch 5 | Train Loss: 0.3547 | Train Acc: 80.51% | Val Loss: 0.3602 | Val Acc: 80.22%
Epoch 6 | Train Loss: 0.3548 | Train Acc: 80.50% | Val Loss: 0.3602 | Val Acc: 80.33%
Epoch 7 | Train Loss: 0.3559 | Train Acc: 80.09% | Val Loss: 0.3614 | Val Acc: 79.95%
Epoch 8 | Train Loss: 0.3547 | Train Acc: 80.40% | Val Loss: 0.3603 | Val Acc: 80.30%
Epoch 9 | Train Loss: 0.3536 | Train Acc: 80.24% | Val Loss: 0.3591 | Val Acc: 80.08%
Epoch 10 | Train Loss: 0.3533 | Train Acc: 80.49% | Val Loss: 0.3591 | Val Acc: 80.27%
80.26666666666667 79.67999999999999
