Epoch 1 | Train Loss: 0.2372 | Train Acc: 91.15% | Val Loss: 0.2383 | Val Acc: 91.32%
Epoch 2 | Train Loss: 0.1827 | Train Acc: 92.88% | Val Loss: 0.1840 | Val Acc: 93.08%
Epoch 3 | Train Loss: 0.1538 | Train Acc: 94.01% | Val Loss: 0.1553 | Val Acc: 93.78%
Epoch 4 | Train Loss: 0.1386 | Train Acc: 94.49% | Val Loss: 0.1403 | Val Acc: 94.40%
Epoch 5 | Train Loss: 0.1277 | Train Acc: 94.89% | Val Loss: 0.1295 | Val Acc: 94.92%
Epoch 6 | Train Loss: 0.1183 | Train Acc: 95.15% | Val Loss: 0.1206 | Val Acc: 95.07%
Epoch 7 | Train Loss: 0.1164 | Train Acc: 95.42% | Val Loss: 0.1192 | Val Acc: 95.32%
Epoch 8 | Train Loss: 0.1069 | Train Acc: 95.63% | Val Loss: 0.1101 | Val Acc: 95.48%
Epoch 9 | Train Loss: 0.1037 | Train Acc: 95.72% | Val Loss: 0.1075 | Val Acc: 95.62%
Epoch 10 | Train Loss: 0.0975 | Train Acc: 95.92% | Val Loss: 0.1008 | Val Acc: 95.75%
95.75 95.71
