Epoch 1 | Train Loss: 0.5107 | Train Acc: 70.83% | Val Loss: 0.5187 | Val Acc: 70.03%
Epoch 2 | Train Loss: 0.4370 | Train Acc: 75.96% | Val Loss: 0.4452 | Val Acc: 75.15%
Epoch 3 | Train Loss: 0.4020 | Train Acc: 78.09% | Val Loss: 0.4101 | Val Acc: 77.30%
Epoch 4 | Train Loss: 0.3806 | Train Acc: 79.61% | Val Loss: 0.3880 | Val Acc: 78.73%
Epoch 5 | Train Loss: 0.3659 | Train Acc: 80.38% | Val Loss: 0.3736 | Val Acc: 79.57%
Epoch 6 | Train Loss: 0.3548 | Train Acc: 80.82% | Val Loss: 0.3621 | Val Acc: 80.40%
Epoch 7 | Train Loss: 0.3464 | Train Acc: 81.33% | Val Loss: 0.3536 | Val Acc: 80.83%
Epoch 8 | Train Loss: 0.3393 | Train Acc: 81.63% | Val Loss: 0.3466 | Val Acc: 81.23%
Epoch 9 | Train Loss: 0.3341 | Train Acc: 81.91% | Val Loss: 0.3414 | Val Acc: 81.48%
Epoch 10 | Train Loss: 0.3295 | Train Acc: 82.02% | Val Loss: 0.3369 | Val Acc: 81.57%
81.56666666666666 80.78999999999999
