Epoch 1 | Train Loss: 0.4461 | Train Acc: 80.39% | Val Loss: 0.4497 | Val Acc: 79.77%
Epoch 2 | Train Loss: 0.3903 | Train Acc: 85.81% | Val Loss: 0.3933 | Val Acc: 86.10%
Epoch 3 | Train Loss: 0.3420 | Train Acc: 87.31% | Val Loss: 0.3448 | Val Acc: 87.47%
Epoch 4 | Train Loss: 0.3017 | Train Acc: 88.64% | Val Loss: 0.3048 | Val Acc: 88.57%
Epoch 5 | Train Loss: 0.2695 | Train Acc: 89.62% | Val Loss: 0.2721 | Val Acc: 89.70%
Epoch 6 | Train Loss: 0.2419 | Train Acc: 90.32% | Val Loss: 0.2430 | Val Acc: 90.72%
Epoch 7 | Train Loss: 0.2256 | Train Acc: 90.87% | Val Loss: 0.2260 | Val Acc: 91.48%
Epoch 8 | Train Loss: 0.2093 | Train Acc: 91.45% | Val Loss: 0.2091 | Val Acc: 91.88%
Epoch 9 | Train Loss: 0.2006 | Train Acc: 91.76% | Val Loss: 0.2005 | Val Acc: 92.08%
Epoch 10 | Train Loss: 0.1903 | Train Acc: 92.15% | Val Loss: 0.1895 | Val Acc: 92.40%
92.4 92.64
