Epoch 1 | Train Loss: 0.4227 | Train Acc: 78.56% | Val Loss: 0.4303 | Val Acc: 77.95%
Epoch 2 | Train Loss: 0.3672 | Train Acc: 80.39% | Val Loss: 0.3747 | Val Acc: 79.92%
Epoch 3 | Train Loss: 0.3399 | Train Acc: 81.73% | Val Loss: 0.3471 | Val Acc: 81.20%
Epoch 4 | Train Loss: 0.3240 | Train Acc: 82.08% | Val Loss: 0.3313 | Val Acc: 81.90%
Epoch 5 | Train Loss: 0.3129 | Train Acc: 82.63% | Val Loss: 0.3198 | Val Acc: 82.28%
Epoch 6 | Train Loss: 0.3040 | Train Acc: 83.05% | Val Loss: 0.3109 | Val Acc: 82.60%
Epoch 7 | Train Loss: 0.2971 | Train Acc: 83.29% | Val Loss: 0.3043 | Val Acc: 83.17%
Epoch 8 | Train Loss: 0.2920 | Train Acc: 83.46% | Val Loss: 0.2992 | Val Acc: 83.12%
Epoch 9 | Train Loss: 0.2871 | Train Acc: 83.86% | Val Loss: 0.2942 | Val Acc: 83.52%
Epoch 10 | Train Loss: 0.2836 | Train Acc: 83.77% | Val Loss: 0.2903 | Val Acc: 83.68%
83.68333333333334 82.67
