Epoch 1 | Train Loss: 0.4117 | Train Acc: 78.32% | Val Loss: 0.4177 | Val Acc: 77.95%
Epoch 2 | Train Loss: 0.3617 | Train Acc: 81.08% | Val Loss: 0.3674 | Val Acc: 80.90%
Epoch 3 | Train Loss: 0.3362 | Train Acc: 82.20% | Val Loss: 0.3418 | Val Acc: 81.92%
Epoch 4 | Train Loss: 0.3214 | Train Acc: 82.58% | Val Loss: 0.3266 | Val Acc: 81.95%
Epoch 5 | Train Loss: 0.3055 | Train Acc: 83.48% | Val Loss: 0.3112 | Val Acc: 82.95%
Epoch 6 | Train Loss: 0.2939 | Train Acc: 83.99% | Val Loss: 0.2999 | Val Acc: 83.43%
Epoch 7 | Train Loss: 0.2854 | Train Acc: 84.40% | Val Loss: 0.2915 | Val Acc: 83.87%
Epoch 8 | Train Loss: 0.2780 | Train Acc: 84.82% | Val Loss: 0.2848 | Val Acc: 84.33%
Epoch 9 | Train Loss: 0.2721 | Train Acc: 84.98% | Val Loss: 0.2790 | Val Acc: 84.57%
Epoch 10 | Train Loss: 0.2659 | Train Acc: 85.28% | Val Loss: 0.2731 | Val Acc: 84.67%
84.66666666666667 83.87
