Epoch 1 | Train Loss: 0.6598 | Train Acc: 71.42% | Val Loss: 0.6612 | Val Acc: 70.80%
Epoch 2 | Train Loss: 0.7084 | Train Acc: 67.66% | Val Loss: 0.7098 | Val Acc: 66.72%
Epoch 3 | Train Loss: 0.7374 | Train Acc: 65.77% | Val Loss: 0.7383 | Val Acc: 65.77%
Epoch 4 | Train Loss: 0.7526 | Train Acc: 60.81% | Val Loss: 0.7534 | Val Acc: 60.42%
Epoch 5 | Train Loss: 0.7621 | Train Acc: 59.79% | Val Loss: 0.7629 | Val Acc: 59.30%
Epoch 6 | Train Loss: 0.7662 | Train Acc: 55.43% | Val Loss: 0.7671 | Val Acc: 55.23%
Epoch 7 | Train Loss: 0.7691 | Train Acc: 53.09% | Val Loss: 0.7699 | Val Acc: 53.07%
Epoch 8 | Train Loss: 0.7732 | Train Acc: 57.49% | Val Loss: 0.7739 | Val Acc: 58.22%
Epoch 9 | Train Loss: 0.7735 | Train Acc: 52.83% | Val Loss: 0.7740 | Val Acc: 52.47%
Epoch 10 | Train Loss: 0.7741 | Train Acc: 48.54% | Val Loss: 0.7745 | Val Acc: 48.53%
48.53333333333333 48.82
