Epoch 1 | Train Loss: 0.6846 | Train Acc: 69.11% | Val Loss: 0.6851 | Val Acc: 69.10%
Epoch 2 | Train Loss: 0.5363 | Train Acc: 75.90% | Val Loss: 0.5372 | Val Acc: 75.82%
Epoch 3 | Train Loss: 0.4705 | Train Acc: 79.37% | Val Loss: 0.4721 | Val Acc: 79.15%
Epoch 4 | Train Loss: 0.4291 | Train Acc: 82.61% | Val Loss: 0.4310 | Val Acc: 82.53%
Epoch 5 | Train Loss: 0.3974 | Train Acc: 84.48% | Val Loss: 0.3999 | Val Acc: 84.57%
Epoch 6 | Train Loss: 0.3714 | Train Acc: 85.67% | Val Loss: 0.3738 | Val Acc: 85.60%
Epoch 7 | Train Loss: 0.3510 | Train Acc: 86.49% | Val Loss: 0.3535 | Val Acc: 86.45%
Epoch 8 | Train Loss: 0.3345 | Train Acc: 87.26% | Val Loss: 0.3367 | Val Acc: 87.60%
Epoch 9 | Train Loss: 0.3215 | Train Acc: 87.54% | Val Loss: 0.3237 | Val Acc: 87.62%
Epoch 10 | Train Loss: 0.3110 | Train Acc: 87.93% | Val Loss: 0.3131 | Val Acc: 87.88%
87.88333333333334 88.46000000000001
