Epoch 1 | Train Loss: 0.3197 | Train Acc: 87.12% | Val Loss: 0.3240 | Val Acc: 87.27%
Epoch 2 | Train Loss: 0.2432 | Train Acc: 90.46% | Val Loss: 0.2451 | Val Acc: 90.63%
Epoch 3 | Train Loss: 0.2127 | Train Acc: 91.55% | Val Loss: 0.2141 | Val Acc: 91.53%
Epoch 4 | Train Loss: 0.1947 | Train Acc: 92.29% | Val Loss: 0.1969 | Val Acc: 92.25%
Epoch 5 | Train Loss: 0.1831 | Train Acc: 92.79% | Val Loss: 0.1854 | Val Acc: 92.57%
Epoch 6 | Train Loss: 0.1743 | Train Acc: 93.19% | Val Loss: 0.1771 | Val Acc: 93.15%
Epoch 7 | Train Loss: 0.1674 | Train Acc: 93.50% | Val Loss: 0.1708 | Val Acc: 93.37%
Epoch 8 | Train Loss: 0.1620 | Train Acc: 93.69% | Val Loss: 0.1651 | Val Acc: 93.50%
Epoch 9 | Train Loss: 0.1568 | Train Acc: 93.98% | Val Loss: 0.1611 | Val Acc: 93.80%
Epoch 10 | Train Loss: 0.1529 | Train Acc: 94.13% | Val Loss: 0.1571 | Val Acc: 93.93%
93.93333333333334 94.05
