Epoch 1 | Train Loss: 0.4444 | Train Acc: 82.09% | Val Loss: 0.4449 | Val Acc: 81.92%
Epoch 2 | Train Loss: 0.3774 | Train Acc: 85.20% | Val Loss: 0.3786 | Val Acc: 85.17%
Epoch 3 | Train Loss: 0.3344 | Train Acc: 87.08% | Val Loss: 0.3352 | Val Acc: 87.15%
Epoch 4 | Train Loss: 0.3033 | Train Acc: 88.19% | Val Loss: 0.3036 | Val Acc: 88.43%
Epoch 5 | Train Loss: 0.2790 | Train Acc: 89.26% | Val Loss: 0.2787 | Val Acc: 89.57%
Epoch 6 | Train Loss: 0.2591 | Train Acc: 89.87% | Val Loss: 0.2587 | Val Acc: 90.33%
Epoch 7 | Train Loss: 0.2434 | Train Acc: 90.52% | Val Loss: 0.2426 | Val Acc: 90.72%
Epoch 8 | Train Loss: 0.2319 | Train Acc: 90.83% | Val Loss: 0.2304 | Val Acc: 91.08%
Epoch 9 | Train Loss: 0.2209 | Train Acc: 91.22% | Val Loss: 0.2194 | Val Acc: 91.53%
Epoch 10 | Train Loss: 0.2115 | Train Acc: 91.58% | Val Loss: 0.2100 | Val Acc: 91.78%
91.78333333333333 92.02
