Epoch 1 | Train Loss: 0.2209 | Train Acc: 91.78% | Val Loss: 0.2219 | Val Acc: 91.92%
Epoch 2 | Train Loss: 0.1872 | Train Acc: 92.82% | Val Loss: 0.1879 | Val Acc: 93.08%
Epoch 3 | Train Loss: 0.1758 | Train Acc: 93.44% | Val Loss: 0.1770 | Val Acc: 93.35%
Epoch 4 | Train Loss: 0.1685 | Train Acc: 93.49% | Val Loss: 0.1694 | Val Acc: 93.68%
Epoch 5 | Train Loss: 0.1648 | Train Acc: 93.64% | Val Loss: 0.1663 | Val Acc: 93.75%
Epoch 6 | Train Loss: 0.1624 | Train Acc: 93.77% | Val Loss: 0.1637 | Val Acc: 93.72%
Epoch 7 | Train Loss: 0.1602 | Train Acc: 93.85% | Val Loss: 0.1615 | Val Acc: 93.82%
Epoch 8 | Train Loss: 0.1583 | Train Acc: 94.00% | Val Loss: 0.1602 | Val Acc: 93.75%
Epoch 9 | Train Loss: 0.1590 | Train Acc: 93.82% | Val Loss: 0.1607 | Val Acc: 93.70%
Epoch 10 | Train Loss: 0.1580 | Train Acc: 93.95% | Val Loss: 0.1595 | Val Acc: 93.88%
93.88333333333333 94.25
