Epoch 1 | Train Loss: 0.7261 | Train Acc: 57.30% | Val Loss: 0.7288 | Val Acc: 56.67%
Epoch 2 | Train Loss: 0.6345 | Train Acc: 64.60% | Val Loss: 0.6384 | Val Acc: 64.75%
Epoch 3 | Train Loss: 0.5861 | Train Acc: 67.85% | Val Loss: 0.5909 | Val Acc: 67.42%
Epoch 4 | Train Loss: 0.5543 | Train Acc: 69.79% | Val Loss: 0.5594 | Val Acc: 69.68%
Epoch 5 | Train Loss: 0.5308 | Train Acc: 71.03% | Val Loss: 0.5362 | Val Acc: 71.22%
Epoch 6 | Train Loss: 0.5119 | Train Acc: 72.13% | Val Loss: 0.5179 | Val Acc: 71.93%
Epoch 7 | Train Loss: 0.4964 | Train Acc: 73.19% | Val Loss: 0.5026 | Val Acc: 72.78%
Epoch 8 | Train Loss: 0.4833 | Train Acc: 74.09% | Val Loss: 0.4897 | Val Acc: 73.55%
Epoch 9 | Train Loss: 0.4720 | Train Acc: 74.75% | Val Loss: 0.4786 | Val Acc: 74.03%
Epoch 10 | Train Loss: 0.4621 | Train Acc: 75.40% | Val Loss: 0.4688 | Val Acc: 74.72%
74.71666666666667 74.57000000000001
