Epoch 1 | Train Loss: 0.5118 | Train Acc: 77.78% | Val Loss: 0.5138 | Val Acc: 77.88%
Epoch 2 | Train Loss: 0.4206 | Train Acc: 83.82% | Val Loss: 0.4231 | Val Acc: 83.90%
Epoch 3 | Train Loss: 0.3854 | Train Acc: 85.83% | Val Loss: 0.3882 | Val Acc: 85.88%
Epoch 4 | Train Loss: 0.3687 | Train Acc: 86.92% | Val Loss: 0.3716 | Val Acc: 86.92%
Epoch 5 | Train Loss: 0.3598 | Train Acc: 87.29% | Val Loss: 0.3626 | Val Acc: 87.13%
Epoch 6 | Train Loss: 0.3549 | Train Acc: 87.50% | Val Loss: 0.3575 | Val Acc: 87.27%
Epoch 7 | Train Loss: 0.3521 | Train Acc: 87.45% | Val Loss: 0.3547 | Val Acc: 87.22%
Epoch 8 | Train Loss: 0.3502 | Train Acc: 87.44% | Val Loss: 0.3526 | Val Acc: 87.43%
Epoch 9 | Train Loss: 0.3491 | Train Acc: 87.75% | Val Loss: 0.3514 | Val Acc: 87.62%
Epoch 10 | Train Loss: 0.3479 | Train Acc: 87.59% | Val Loss: 0.3501 | Val Acc: 87.67%
87.66666666666667 88.41
