Epoch 1 | Train Loss: 0.3056 | Train Acc: 88.21% | Val Loss: 0.3097 | Val Acc: 88.05%
Epoch 2 | Train Loss: 0.2430 | Train Acc: 90.34% | Val Loss: 0.2447 | Val Acc: 90.30%
Epoch 3 | Train Loss: 0.2176 | Train Acc: 91.37% | Val Loss: 0.2182 | Val Acc: 91.68%
Epoch 4 | Train Loss: 0.2039 | Train Acc: 91.86% | Val Loss: 0.2043 | Val Acc: 92.07%
Epoch 5 | Train Loss: 0.1954 | Train Acc: 92.28% | Val Loss: 0.1964 | Val Acc: 92.48%
Epoch 6 | Train Loss: 0.1901 | Train Acc: 92.35% | Val Loss: 0.1905 | Val Acc: 92.47%
Epoch 7 | Train Loss: 0.1852 | Train Acc: 92.61% | Val Loss: 0.1855 | Val Acc: 92.57%
Epoch 8 | Train Loss: 0.1811 | Train Acc: 92.88% | Val Loss: 0.1817 | Val Acc: 92.92%
Epoch 9 | Train Loss: 0.1786 | Train Acc: 93.09% | Val Loss: 0.1795 | Val Acc: 93.02%
Epoch 10 | Train Loss: 0.1766 | Train Acc: 93.05% | Val Loss: 0.1774 | Val Acc: 93.15%
93.15 93.26
