Epoch 1 | Train Loss: 0.3243 | Train Acc: 81.01% | Val Loss: 0.3325 | Val Acc: 80.83%
Epoch 2 | Train Loss: 0.2911 | Train Acc: 82.71% | Val Loss: 0.2986 | Val Acc: 82.28%
Epoch 3 | Train Loss: 0.2795 | Train Acc: 83.35% | Val Loss: 0.2868 | Val Acc: 82.68%
Epoch 4 | Train Loss: 0.2756 | Train Acc: 83.49% | Val Loss: 0.2829 | Val Acc: 83.07%
Epoch 5 | Train Loss: 0.2698 | Train Acc: 83.62% | Val Loss: 0.2771 | Val Acc: 83.08%
Epoch 6 | Train Loss: 0.2681 | Train Acc: 83.88% | Val Loss: 0.2755 | Val Acc: 83.25%
Epoch 7 | Train Loss: 0.2669 | Train Acc: 83.61% | Val Loss: 0.2738 | Val Acc: 83.07%
Epoch 8 | Train Loss: 0.2599 | Train Acc: 84.32% | Val Loss: 0.2668 | Val Acc: 83.68%
Epoch 9 | Train Loss: 0.2610 | Train Acc: 84.21% | Val Loss: 0.2683 | Val Acc: 83.65%
Epoch 10 | Train Loss: 0.2602 | Train Acc: 84.00% | Val Loss: 0.2670 | Val Acc: 83.68%
83.68333333333334 82.69999999999999
