Epoch 1 | Train Loss: 0.4989 | Train Acc: 77.82% | Val Loss: 0.5012 | Val Acc: 77.32%
Epoch 2 | Train Loss: 0.4007 | Train Acc: 84.18% | Val Loss: 0.4041 | Val Acc: 83.75%
Epoch 3 | Train Loss: 0.3499 | Train Acc: 86.77% | Val Loss: 0.3531 | Val Acc: 86.32%
Epoch 4 | Train Loss: 0.3172 | Train Acc: 88.09% | Val Loss: 0.3204 | Val Acc: 87.95%
Epoch 5 | Train Loss: 0.2949 | Train Acc: 88.93% | Val Loss: 0.2978 | Val Acc: 89.05%
Epoch 6 | Train Loss: 0.2789 | Train Acc: 89.63% | Val Loss: 0.2817 | Val Acc: 89.70%
Epoch 7 | Train Loss: 0.2667 | Train Acc: 90.03% | Val Loss: 0.2690 | Val Acc: 90.15%
Epoch 8 | Train Loss: 0.2572 | Train Acc: 90.26% | Val Loss: 0.2591 | Val Acc: 90.47%
Epoch 9 | Train Loss: 0.2499 | Train Acc: 90.56% | Val Loss: 0.2517 | Val Acc: 90.77%
Epoch 10 | Train Loss: 0.2438 | Train Acc: 90.66% | Val Loss: 0.2453 | Val Acc: 90.80%
90.8 91.31
