Epoch 1 | Train Loss: 0.6587 | Train Acc: 69.66% | Val Loss: 0.6653 | Val Acc: 69.17%
Epoch 2 | Train Loss: 0.5320 | Train Acc: 77.96% | Val Loss: 0.5371 | Val Acc: 77.38%
Epoch 3 | Train Loss: 0.4786 | Train Acc: 81.24% | Val Loss: 0.4831 | Val Acc: 81.10%
Epoch 4 | Train Loss: 0.4489 | Train Acc: 82.81% | Val Loss: 0.4530 | Val Acc: 82.70%
Epoch 5 | Train Loss: 0.4307 | Train Acc: 83.70% | Val Loss: 0.4347 | Val Acc: 83.55%
Epoch 6 | Train Loss: 0.4185 | Train Acc: 84.49% | Val Loss: 0.4220 | Val Acc: 84.52%
Epoch 7 | Train Loss: 0.4101 | Train Acc: 85.01% | Val Loss: 0.4136 | Val Acc: 84.95%
Epoch 8 | Train Loss: 0.4041 | Train Acc: 85.35% | Val Loss: 0.4074 | Val Acc: 85.40%
Epoch 9 | Train Loss: 0.4000 | Train Acc: 85.62% | Val Loss: 0.4035 | Val Acc: 85.65%
Epoch 10 | Train Loss: 0.3968 | Train Acc: 85.63% | Val Loss: 0.4000 | Val Acc: 85.55%
85.55 86.35000000000001
