Epoch 1 | Train Loss: 0.3718 | Train Acc: 79.24% | Val Loss: 0.3787 | Val Acc: 79.03%
Epoch 2 | Train Loss: 0.3442 | Train Acc: 80.44% | Val Loss: 0.3512 | Val Acc: 80.20%
Epoch 3 | Train Loss: 0.3344 | Train Acc: 81.12% | Val Loss: 0.3411 | Val Acc: 80.85%
Epoch 4 | Train Loss: 0.3289 | Train Acc: 80.88% | Val Loss: 0.3354 | Val Acc: 80.58%
Epoch 5 | Train Loss: 0.3278 | Train Acc: 81.31% | Val Loss: 0.3341 | Val Acc: 80.65%
Epoch 6 | Train Loss: 0.3222 | Train Acc: 81.43% | Val Loss: 0.3288 | Val Acc: 81.00%
Epoch 7 | Train Loss: 0.3212 | Train Acc: 81.14% | Val Loss: 0.3276 | Val Acc: 80.38%
Epoch 8 | Train Loss: 0.3180 | Train Acc: 81.17% | Val Loss: 0.3242 | Val Acc: 80.75%
Epoch 9 | Train Loss: 0.3171 | Train Acc: 81.57% | Val Loss: 0.3234 | Val Acc: 80.92%
Epoch 10 | Train Loss: 0.3149 | Train Acc: 81.34% | Val Loss: 0.3210 | Val Acc: 80.85%
80.85 80.27
