Epoch 1 | Train Loss: 0.3099 | Train Acc: 89.01% | Val Loss: 0.3115 | Val Acc: 89.27%
Epoch 2 | Train Loss: 0.2594 | Train Acc: 90.44% | Val Loss: 0.2609 | Val Acc: 90.85%
Epoch 3 | Train Loss: 0.2372 | Train Acc: 90.96% | Val Loss: 0.2383 | Val Acc: 91.35%
Epoch 4 | Train Loss: 0.2234 | Train Acc: 91.38% | Val Loss: 0.2249 | Val Acc: 91.58%
Epoch 5 | Train Loss: 0.2142 | Train Acc: 91.45% | Val Loss: 0.2155 | Val Acc: 91.55%
Epoch 6 | Train Loss: 0.2096 | Train Acc: 91.42% | Val Loss: 0.2106 | Val Acc: 91.70%
Epoch 7 | Train Loss: 0.2073 | Train Acc: 91.41% | Val Loss: 0.2080 | Val Acc: 91.58%
Epoch 8 | Train Loss: 0.2027 | Train Acc: 91.60% | Val Loss: 0.2034 | Val Acc: 91.88%
Epoch 9 | Train Loss: 0.1999 | Train Acc: 91.73% | Val Loss: 0.2005 | Val Acc: 91.82%
Epoch 10 | Train Loss: 0.1979 | Train Acc: 91.80% | Val Loss: 0.1993 | Val Acc: 91.87%
91.86666666666666 92.21000000000001
