Epoch 1 | Train Loss: 0.7199 | Train Acc: 53.61% | Val Loss: 0.7248 | Val Acc: 53.53%
Epoch 2 | Train Loss: 0.6094 | Train Acc: 66.59% | Val Loss: 0.6133 | Val Acc: 66.82%
Epoch 3 | Train Loss: 0.5384 | Train Acc: 73.52% | Val Loss: 0.5417 | Val Acc: 73.63%
Epoch 4 | Train Loss: 0.4877 | Train Acc: 77.84% | Val Loss: 0.4907 | Val Acc: 77.67%
Epoch 5 | Train Loss: 0.4501 | Train Acc: 80.51% | Val Loss: 0.4530 | Val Acc: 80.37%
Epoch 6 | Train Loss: 0.4214 | Train Acc: 82.57% | Val Loss: 0.4241 | Val Acc: 82.30%
Epoch 7 | Train Loss: 0.3984 | Train Acc: 83.96% | Val Loss: 0.4009 | Val Acc: 83.62%
Epoch 8 | Train Loss: 0.3792 | Train Acc: 85.08% | Val Loss: 0.3815 | Val Acc: 85.00%
Epoch 9 | Train Loss: 0.3628 | Train Acc: 85.83% | Val Loss: 0.3651 | Val Acc: 86.08%
Epoch 10 | Train Loss: 0.3487 | Train Acc: 86.43% | Val Loss: 0.3508 | Val Acc: 86.73%
86.73333333333333 87.06
