Epoch 1 | Train Loss: 0.3540 | Train Acc: 87.40% | Val Loss: 0.3592 | Val Acc: 87.80%
Epoch 2 | Train Loss: 0.2853 | Train Acc: 90.23% | Val Loss: 0.2887 | Val Acc: 90.45%
Epoch 3 | Train Loss: 0.2497 | Train Acc: 91.57% | Val Loss: 0.2524 | Val Acc: 91.68%
Epoch 4 | Train Loss: 0.2271 | Train Acc: 92.26% | Val Loss: 0.2297 | Val Acc: 92.50%
Epoch 5 | Train Loss: 0.2109 | Train Acc: 92.76% | Val Loss: 0.2135 | Val Acc: 92.78%
Epoch 6 | Train Loss: 0.1986 | Train Acc: 93.20% | Val Loss: 0.2016 | Val Acc: 93.10%
Epoch 7 | Train Loss: 0.1892 | Train Acc: 93.59% | Val Loss: 0.1924 | Val Acc: 93.52%
Epoch 8 | Train Loss: 0.1817 | Train Acc: 93.85% | Val Loss: 0.1850 | Val Acc: 93.85%
Epoch 9 | Train Loss: 0.1757 | Train Acc: 93.98% | Val Loss: 0.1794 | Val Acc: 93.92%
Epoch 10 | Train Loss: 0.1698 | Train Acc: 94.24% | Val Loss: 0.1739 | Val Acc: 94.10%
94.1 93.94
