Epoch 1 | Train Loss: 0.3439 | Train Acc: 87.75% | Val Loss: 0.3470 | Val Acc: 87.90%
Epoch 2 | Train Loss: 0.2734 | Train Acc: 90.64% | Val Loss: 0.2751 | Val Acc: 90.90%
Epoch 3 | Train Loss: 0.2353 | Train Acc: 91.71% | Val Loss: 0.2369 | Val Acc: 92.00%
Epoch 4 | Train Loss: 0.2122 | Train Acc: 92.63% | Val Loss: 0.2136 | Val Acc: 92.93%
Epoch 5 | Train Loss: 0.1964 | Train Acc: 93.17% | Val Loss: 0.1975 | Val Acc: 93.37%
Epoch 6 | Train Loss: 0.1851 | Train Acc: 93.56% | Val Loss: 0.1868 | Val Acc: 93.53%
Epoch 7 | Train Loss: 0.1727 | Train Acc: 93.96% | Val Loss: 0.1744 | Val Acc: 94.05%
Epoch 8 | Train Loss: 0.1658 | Train Acc: 94.17% | Val Loss: 0.1676 | Val Acc: 94.38%
Epoch 9 | Train Loss: 0.1577 | Train Acc: 94.47% | Val Loss: 0.1593 | Val Acc: 94.62%
Epoch 10 | Train Loss: 0.1518 | Train Acc: 94.74% | Val Loss: 0.1536 | Val Acc: 94.83%
94.83333333333334 94.6
