Epoch 1 | Train Loss: 0.3549 | Train Acc: 86.49% | Val Loss: 0.3566 | Val Acc: 86.43%
Epoch 2 | Train Loss: 0.2960 | Train Acc: 88.99% | Val Loss: 0.2972 | Val Acc: 89.40%
Epoch 3 | Train Loss: 0.2759 | Train Acc: 89.52% | Val Loss: 0.2768 | Val Acc: 89.78%
Epoch 4 | Train Loss: 0.2650 | Train Acc: 89.56% | Val Loss: 0.2655 | Val Acc: 89.73%
Epoch 5 | Train Loss: 0.2581 | Train Acc: 89.87% | Val Loss: 0.2589 | Val Acc: 89.98%
Epoch 6 | Train Loss: 0.2526 | Train Acc: 90.06% | Val Loss: 0.2530 | Val Acc: 89.95%
Epoch 7 | Train Loss: 0.2478 | Train Acc: 90.16% | Val Loss: 0.2482 | Val Acc: 90.13%
Epoch 8 | Train Loss: 0.2437 | Train Acc: 90.13% | Val Loss: 0.2438 | Val Acc: 90.27%
Epoch 9 | Train Loss: 0.2396 | Train Acc: 90.17% | Val Loss: 0.2398 | Val Acc: 90.15%
Epoch 10 | Train Loss: 0.2362 | Train Acc: 90.24% | Val Loss: 0.2362 | Val Acc: 90.18%
90.18333333333334 90.92
