Epoch 1 | Train Loss: 0.3025 | Train Acc: 89.49% | Val Loss: 0.3026 | Val Acc: 89.98%
Epoch 2 | Train Loss: 0.2293 | Train Acc: 91.54% | Val Loss: 0.2274 | Val Acc: 92.37%
Epoch 3 | Train Loss: 0.1967 | Train Acc: 92.99% | Val Loss: 0.1950 | Val Acc: 93.55%
Epoch 4 | Train Loss: 0.1777 | Train Acc: 93.66% | Val Loss: 0.1762 | Val Acc: 94.12%
Epoch 5 | Train Loss: 0.1679 | Train Acc: 94.00% | Val Loss: 0.1672 | Val Acc: 94.18%
Epoch 6 | Train Loss: 0.1542 | Train Acc: 94.44% | Val Loss: 0.1531 | Val Acc: 94.72%
Epoch 7 | Train Loss: 0.1452 | Train Acc: 94.86% | Val Loss: 0.1446 | Val Acc: 95.23%
Epoch 8 | Train Loss: 0.1372 | Train Acc: 95.11% | Val Loss: 0.1372 | Val Acc: 95.40%
Epoch 9 | Train Loss: 0.1310 | Train Acc: 95.41% | Val Loss: 0.1317 | Val Acc: 95.65%
Epoch 10 | Train Loss: 0.1269 | Train Acc: 95.54% | Val Loss: 0.1276 | Val Acc: 95.65%
95.65 95.35
